"","accession","Description","logFC","logCPM","F","PValue","FDR"
"1","OEU11144.1","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Fragilariopsis cylindrus CCMP1102]",5.27942765754342,11.1336770085318,84.0634102364036,3.84836779444254e-06,0.00522223509705853
"2","OEU10229.1","protoporphyrin IX Mg-chelatase subunit D [Fragilariopsis cylindrus CCMP1102]",1.98202135096002,8.55656912411203,17.9758635551509,0.0016781818929172,0.833489378007782
"3","OEU11214.1","hypothetical protein FRACYDRAFT_246327 [Fragilariopsis cylindrus CCMP1102]",2.44112760368982,9.36918023750818,17.6200733640051,0.00184264416656105,0.833489378007782
"4","OEU18387.1","P-ATPase family transporter: zinc/lead/cadmium/mercury ion [Fragilariopsis cylindrus CCMP1102]",1.21189563973372,9.77399180008402,15.0587500100017,0.0029982052927665,0.99994003611836
"5","OEU08987.1","T-complex protein 1 subunit gamma [Fragilariopsis cylindrus CCMP1102]",1.01189583092658,10.2914415333341,11.8166048753852,0.00626435982722854,0.99994003611836
"6","OEU18337.1","P-loop containing nucleoside triphosphate hydrolase protein [Fragilariopsis cylindrus CCMP1102]",1.79633771795832,10.3489002832772,10.9588238884346,0.00801414492599126,0.99994003611836
"7","OEU09871.1","ribosomal protein S12 [Fragilariopsis cylindrus CCMP1102]",1.43616044604724,11.1112074416228,10.3144703673149,0.00946135353485434,0.99994003611836
"8","OEU15295.1","hypothetical protein FRACYDRAFT_208848 [Fragilariopsis cylindrus CCMP1102]",-1.19552977793917,8.99959578423719,7.7669428325165,0.0195311525253568,0.99994003611836
"9","OEU21485.1","Cys_Met_Meta_PP-domain-containing protein [Fragilariopsis cylindrus CCMP1102]",-1.36760622712457,8.72432857328261,8.14153588996264,0.0202627292683167,0.99994003611836
"10","1773362818","photosystem I p700 chlorophyll A apoprotein B (chloroplast) [Fragilariopsis cylindrus]",0.891431249550285,10.606745499127,7.23670859943906,0.0225060599118063,0.99994003611836
"11","OEU18451.1","hypothetical protein FRACYDRAFT_260397 [Fragilariopsis cylindrus CCMP1102]",1.1344673029687,9.75690020064501,6.90990183213495,0.0251064870090279,0.99994003611836
"12","OEU11984.1","casein kinase I delta [Fragilariopsis cylindrus CCMP1102]",-1.29609797894183,9.26227065034743,6.82461002015392,0.02581931419978,0.99994003611836
"13","OEU17392.1","putative glucose-6-phosphate dehydrogenase [Fragilariopsis cylindrus CCMP1102]",0.839642249617383,11.2325341147069,6.70837508966785,0.0268308559985441,0.99994003611836
"14","OEU16003.1","porphobilinogen synthase [Fragilariopsis cylindrus CCMP1102]",-1.0864664430645,10.4369054675026,6.64963601407551,0.0276162084528786,0.99994003611836
"15","OEU09987.1","hypothetical protein FRACYDRAFT_271162 [Fragilariopsis cylindrus CCMP1102]",2.01854715767835,8.40723491675574,6.60171460291185,0.0281933900160933,0.99994003611836
"16","OEU17697.1","argininosuccinate synthase [Fragilariopsis cylindrus CCMP1102]",-0.748145321415364,10.5010080272396,6.32526273919591,0.0304317770240836,0.99994003611836
"17","OEU15128.1","acetate CoA ligase [Fragilariopsis cylindrus CCMP1102]",-1.45252780976379,9.46021427247672,6.33602587445057,0.0304333553481593,0.99994003611836
"18","OEU18543.1","TPR-like protein [Fragilariopsis cylindrus CCMP1102]",-1.20685851473917,9.07548952578728,6.02436274194291,0.0337711922405259,0.99994003611836
"19","OEU07841.1","serine hydroxymethyltransferase [Fragilariopsis cylindrus CCMP1102]",1.14252013644176,10.3576335045229,5.75274765272779,0.0377202477131564,0.99994003611836
"20","OEU14774.1","Chloroa_b-bind-domain-containing protein [Fragilariopsis cylindrus CCMP1102]",0.51036605619894,10.5293468503087,6.21465067676773,0.0393433556225966,0.99994003611836
"21","OEU21644.1","mitochondrial 2-oxoglutarate/malate carrier protein [Fragilariopsis cylindrus CCMP1102]",1.11399668310798,11.3826263117867,5.458908782531,0.0419124417890382,0.99994003611836
"22","OEU12438.1","phosphofructokinase [Fragilariopsis cylindrus CCMP1102]",0.910926891656317,9.39603897700074,5.35709672194188,0.0429244279204153,0.99994003611836
"23","OEU15780.1","chlorophyll a/b-binding protein [Fragilariopsis cylindrus CCMP1102]",-1.07835343122607,8.82170895542667,6.42130065694501,0.0449777073644445,0.99994003611836
"24","OEU21243.1","cell division protease ftsH 4 [Fragilariopsis cylindrus CCMP1102]",-1.0274471477471,10.3254570454994,5.12554617649241,0.047185902273951,0.99994003611836
"25","OEU15135.1","3-phosphoshikimate 1-carboxyvinyltransferase [Fragilariopsis cylindrus CCMP1102]",-0.649406745191068,9.92299180874882,5.00279625008761,0.0499840385240431,0.99994003611836
"26","OEU08344.1","carbamyl phosphate synthetase [Fragilariopsis cylindrus CCMP1102]",-1.53499786744128,9.07687124885182,4.90636873634578,0.0514670039923456,0.99994003611836
"27","OEU14134.1","hypothetical protein FRACYDRAFT_270025 [Fragilariopsis cylindrus CCMP1102]",0.771541830711682,9.26853709288945,7.77426088710049,0.0530173262113005,0.99994003611836
"28","OEU09509.1","imidazole glycerol phosphate synthase HisHF [Fragilariopsis cylindrus CCMP1102]",0.907097493612697,9.70013501660238,4.75013122857252,0.0540256954878775,0.99994003611836
"29","OEU20588.1","multicatalytic endopeptidase [Fragilariopsis cylindrus CCMP1102]",1.104673055315,9.65749883074814,4.59490685007784,0.0578682698117999,0.99994003611836
"30","OEU21827.1","DUF1620-domain-containing protein [Fragilariopsis cylindrus CCMP1102]",1.45994710340599,9.75321481090675,4.56637670493629,0.0586961564119573,0.99994003611836
"31","OEU10171.1","hypothetical protein FRACYDRAFT_173335 [Fragilariopsis cylindrus CCMP1102]",-0.39798350075026,10.8747421702555,4.75956533262148,0.0632776376288417,0.99994003611836
"32","OEU14464.1","hypothetical protein FRACYDRAFT_226456 [Fragilariopsis cylindrus CCMP1102]",1.09040836489604,10.9042372878105,4.26081473368027,0.0662943722771735,0.99994003611836
"33","OEU22848.1","hypothetical protein FRACYDRAFT_274000 [Fragilariopsis cylindrus CCMP1102]",1.09297313058549,8.43199157833208,4.2240986175404,0.0667548411039476,0.99994003611836
"34","OEU16122.1","RecF/RecN/SMC protein [Fragilariopsis cylindrus CCMP1102]",-0.780836365934233,9.75309892225046,4.16690934578006,0.0682129692311054,0.99994003611836
"35","OEU19725.1","PspA_IM30-domain-containing protein [Fragilariopsis cylindrus CCMP1102]",-1.30801438857154,9.42213128126413,4.16098872334304,0.0690381863544369,0.99994003611836
"36","OEU10807.1","3-beta hydroxysteroid dehydrogenase/isomerase [Fragilariopsis cylindrus CCMP1102]",0.980513326518728,9.17179747609748,4.08156555142311,0.0707824260133573,0.99994003611836
"37","OEU21430.1","putative glucose-6-phosphate isomerase [Fragilariopsis cylindrus CCMP1102]",0.791207876170112,9.75490236642169,3.75369668727739,0.081256112280636,0.99994003611836
"38","OEU14863.1","NAD(P)-binding protein [Fragilariopsis cylindrus CCMP1102]",0.906481705444949,9.01940727432543,3.58077078803073,0.0874299761488773,0.99994003611836
